combo_id,pretest,exam,student_count,event_name,div,student_q_count,div_num,percent_correct
1,6,6,723,mchoice,ch1,46,1,47.82608695652174
1,6,6,723,mchoice,ch10,7,10,57.14285714285714
1,6,6,723,mchoice,ch11,6,11,83.33333333333334
1,6,6,723,mchoice,ch12,29,12,41.37931034482759
1,6,6,723,mchoice,ch13,36,13,50.0
1,6,6,723,mchoice,ch14,19,14,42.10526315789473
1,6,6,723,mchoice,ch15,4,15,0.0
1,6,6,723,mchoice,ch16,21,16,57.14285714285714
1,6,6,723,mchoice,ch17,12,17,66.66666666666666
1,6,6,723,mchoice,ch18,9,18,55.55555555555556
1,6,6,723,mchoice,ch2,24,2,37.5
1,6,6,723,mchoice,ch22,17,22,47.05882352941176
1,6,6,723,mchoice,ch3,103,3,69.90291262135922
1,6,6,723,mchoice,ch4,76,4,55.26315789473685
1,6,6,723,mchoice,ch5,21,5,57.14285714285714
1,6,6,723,mchoice,ch6,41,6,73.17073170731707
1,6,6,723,mchoice,ch7,44,7,63.63636363636363
1,6,6,723,mchoice,ch8,34,8,52.94117647058824
1,6,6,723,mchoice,ch9,20,9,45.0
1,6,6,723,parsons,ch10,17,10,35.294117647058826
1,6,6,723,parsons,ch12,8,12,50.0
1,6,6,723,parsons,ch13,4,13,25.0
1,6,6,723,parsons,ch14,3,14,33.33333333333333
1,6,6,723,parsons,ch16,1,16,0.0
1,6,6,723,parsons,ch18,4,18,25.0
1,6,6,723,parsons,ch21,3,21,0.0
1,6,6,723,parsons,ch3,16,3,18.75
1,6,6,723,parsons,ch4,10,4,70.0
1,6,6,723,parsons,ch5,55,5,30.909090909090907
1,6,6,723,parsons,ch6,8,6,25.0
1,6,6,723,parsons,ch7,13,7,38.46153846153847
1,6,6,723,parsons,ch8,6,8,50.0
1,6,6,723,parsons,ch9,6,9,66.66666666666666
2,12,6,337,mchoice,ch1,25,1,72.0
2,12,6,337,mchoice,ch10,3,10,66.66666666666666
2,12,6,337,mchoice,ch11,2,11,50.0
2,12,6,337,mchoice,ch12,10,12,30.0
2,12,6,337,mchoice,ch13,7,13,71.42857142857143
2,12,6,337,mchoice,ch14,3,14,66.66666666666666
2,12,6,337,mchoice,ch16,4,16,0.0
2,12,6,337,mchoice,ch2,12,2,50.0
2,12,6,337,mchoice,ch22,6,22,100.0
2,12,6,337,mchoice,ch3,63,3,60.317460317460316
2,12,6,337,mchoice,ch4,46,4,56.52173913043478
2,12,6,337,mchoice,ch5,12,5,58.333333333333336
2,12,6,337,mchoice,ch6,38,6,65.78947368421053
2,12,6,337,mchoice,ch7,25,7,40.0
2,12,6,337,mchoice,ch8,21,8,42.857142857142854
2,12,6,337,mchoice,ch9,6,9,0.0
